VTX, IDX, POSITION0.x, POSITION0.y, POSITION0.z, POSITION0.w, NORMAL0.x, NORMAL0.y, NORMAL0.z, NORMAL0.w, TANGENT0.x, TANGENT0.y, TANGENT0.z, TANGENT0.w, POSITION6.x, POSITION6.y, POSITION6.z, POSITION6.w, POSITION7.x, POSITION7.y, POSITION7.z, POSITION7.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD0.w
12, 12, -3.76953,  7.08594,  14.125,  1.00,  0.8549,  0.84706,  0.52549,  0.00,  0.84314,  0.14118,  0.52941,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
13, 13, -3.76758,  6.69141,  14.125,  1.00,  0.99608,  0.50196,  0.49804,  0.00,  0.50196,  0.00,  0.4902,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
14, 14, -3.88672,  6.62891,  14.11719,  1.00,  0.99608,  0.49804,  0.49804,  0.00,  0.49804,  0.00,  0.4902,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
15, 15,  3.88672,  6.62891,  14.11719,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.42745,  0.99216,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
16, 16,  4.25781,  7.87109,  5.05859,  1.00,  0.59216,  0.98431,  0.5451,  0.00,  0.29412,  0.49412,  0.95294,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
17, 17,  3.89063,  7.39844,  5.07422,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.42745,  0.99216,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
18, 18,  3.88672,  6.62891,  14.11719,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.00,  0.47451,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
19, 19,  4.24609,  7.09375,  14.16406,  1.00,  0.58824,  0.98431,  0.53333,  0.00,  0.01176,  0.58431,  0.56863,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
20, 16,  4.25781,  7.87109,  5.05859,  1.00,  0.59216,  0.98431,  0.5451,  0.00,  0.29412,  0.49412,  0.95294,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
21, 20,  4.24609,  7.09375,  14.16406,  1.00,  0.58824,  0.98431,  0.53333,  0.00,  0.98431,  0.40392,  0.5451,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
22, 21,  4.53906,  6.96094,  14.19531,  1.00,  0.03137,  0.66667,  0.51373,  0.00,  0.32941,  0.03137,  0.5451,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
23, 22,  4.86719,  7.17578,  14.21875,  1.00,  0.67843,  0.96078,  0.52157,  0.00,  0.96078,  0.31765,  0.53725,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
24, 23,  4.59766,  7.87891,  5.03906,  1.00,  0.32941,  0.96471,  0.54118,  0.00,  0.02745,  0.32941,  0.4902,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
25, 24,  4.53125,  7.75,  5.02734,  1.00,  0.0549,  0.72549,  0.51765,  0.00,  0.27059,  0.0549,  0.48235,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
26, 25,  4.25781,  7.87109,  5.05859,  1.00,  0.59216,  0.98431,  0.5451,  0.00,  0.00784,  0.59216,  0.50196,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
27, 26,  4.25781,  7.87109,  5.05859,  1.00,  0.59216,  0.98431,  0.5451,  0.00,  0.98039,  0.40,  0.58039,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
28, 27,  3.77539,  7.85156,  5.08594,  1.00,  0.1098,  0.80784,  0.52941,  0.00,  0.18824,  0.1098,  0.51765,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
29, 28,  3.89063,  7.39844,  5.07422,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.00,  0.48627,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
30, 29,  3.77539,  7.85156,  5.08594,  1.00,  0.1098,  0.80784,  0.52941,  0.00,  0.80784,  0.88627,  0.47843,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
31, 30,  3.82031,  7.40234,  5.07422,  1.00,  0.16863,  0.12549,  0.47059,  0.00,  0.12549,  0.82745,  0.49412,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
32, 31,  3.89063,  7.39844,  5.07422,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.99608,  0.5098,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
33, 32, -20.9375, -6.8125, -6.18359,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.00,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
34, 33, -20.9375, -6.98438, -6.18359,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.96863,  0.44706,  0.34118,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
35, 34, -20.9375, -6.96484, -6.18359,  1.00,  0.49804,  0.49804,  0.99608,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
36, 35, -20.9375, -6.96484, -6.18359,  1.00,  0.49804,  0.49804,  0.99608,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
37, 36, -20.9375, -6.79688, -6.18359,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
38, 37, -20.9375, -6.8125, -6.18359,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.99608,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
39, 38, -24.125, -6.66016, -5.63281,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.02745,  0.54902,  0.6549,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
40, 39, -24.125, -6.48828, -5.63281,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.99608,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
41, 40, -24.125, -6.46875, -5.63281,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
42, 41, -24.125, -6.46875, -5.63281,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
43, 42, -24.125, -6.64063, -5.63281,  1.00,  0.00784,  0.49804,  0.58431,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
44, 43, -24.125, -6.66016, -5.63281,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.96863,  0.44706,  0.34118,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
45, 44, -21.35938, -6.85156, -8.61719,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.00,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
46, 45, -21.35938, -7.02344, -8.61719,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.96863,  0.44706,  0.34118,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
47, 46, -21.35938, -6.96875, -8.61719,  1.00,  0.49804,  0.49804,  0.99608,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
48, 47, -21.35938, -6.96875, -8.61719,  1.00,  0.49804,  0.49804,  0.99608,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
49, 48, -21.35938, -6.79688, -8.61719,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
50, 49, -21.35938, -6.85156, -8.61719,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.99608,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
51, 50, -24.5625, -6.69531, -8.07031,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.02745,  0.54902,  0.6549,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
52, 51, -24.5625, -6.52344, -8.07031,  1.00,  0.58431,  0.49804,  0.98824,  0.00,  0.49804,  0.99608,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
53, 52, -24.5625, -6.46875, -8.07031,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.99608,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
54, 53, -24.5625, -6.46875, -8.07031,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
55, 54, -24.5625, -6.64063, -8.07031,  1.00,  0.00784,  0.49804,  0.58431,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
56, 55, -24.5625, -6.69531, -8.07031,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.96863,  0.44706,  0.34118,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
57, 56, -22.50, -7.16016, -17.82813,  1.00,  0.49804,  0.00,  0.50588,  0.00,  0.49804,  0.4902,  0.00,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
58, 57, -22.50, -7.16016, -17.89063,  1.00,  0.49804,  0.00,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
59, 58, -22.50, -7.10938, -17.89063,  1.00,  0.99608,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
60, 59, -26.15625, -6.83594, -17.34375,  1.00,  0.44706,  0.00392,  0.49804,  0.00,  0.49804,  0.49804,  0.99608,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
61, 60, -26.15625, -6.83594, -17.28125,  1.00,  0.45098,  0.00392,  0.51373,  0.00,  0.49804,  0.51373,  0.99608,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
62, 61, -26.15625, -6.78516, -17.28125,  1.00,  0.00784,  0.49804,  0.58431,  0.00,  0.58431,  0.49804,  0.98824,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
63, 62, -26.15625, -6.78516, -17.28125,  1.00,  0.00784,  0.49804,  0.58431,  0.00,  0.41176,  0.49804,  0.00784,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
64, 63, -26.15625, -6.78516, -17.34375,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
65, 64, -26.15625, -6.83594, -17.34375,  1.00,  0.44706,  0.00392,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
66, 65, -23.96875, -6.62109, -7.57031,  1.00,  0.54118,  0.26275,  0.05882,  0.00,  0.99216,  0.51765,  0.53725,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
67, 66, -23.01563, -6.62109, -7.57031,  1.00,  0.49804,  0.30196,  0.03922,  0.00,  0.99608,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
68, 67, -22.01563, -6.62109, -7.57031,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
69, 68, -22.01563, -6.62109, -7.57031,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.99608,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
70, 69, -22.95313, -6.62109, -7.57031,  1.00,  0.49804,  0.68235,  0.96078,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
71, 70, -23.96875, -6.62109, -7.57031,  1.00,  0.54118,  0.26275,  0.05882,  0.00,  0.00392,  0.47843,  0.45882,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
72, 71, -23.25, -6.32031, -7.69922,  1.00,  0.49804,  0.30196,  0.03922,  0.00,  0.00,  0.49804,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
73, 72, -23.96875, -6.39453, -7.69141,  1.00,  0.54118,  0.26275,  0.05882,  0.00,  0.00392,  0.47843,  0.45882,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
74, 73, -22.96875, -6.39453, -7.69141,  1.00,  0.49804,  0.86667,  0.83137,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
75, 73, -22.96875, -6.39453, -7.69141,  1.00,  0.49804,  0.86667,  0.83137,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
76, 74, -22.25, -6.32031, -7.69922,  1.00,  0.49804,  0.54118,  0.99216,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
77, 71, -23.25, -6.32031, -7.69922,  1.00,  0.49804,  0.30196,  0.03922,  0.00,  0.00,  0.49804,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
78, 75, -23.54688, -6.58594, -5.16016,  1.00,  0.49804,  0.49412,  0.00,  0.00,  0.99608,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
79, 76, -22.95313, -6.58594, -5.16016,  1.00,  0.49804,  0.0549,  0.27451,  0.00,  0.99608,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
80, 77, -21.9375, -6.58594, -5.16016,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.00,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
81, 78, -21.9375, -6.58594, -5.16016,  1.00,  0.00,  0.49804,  0.49804,  0.00,  0.49804,  0.49804,  0.99608,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
82, 79, -22.54688, -6.58594, -5.16016,  1.00,  0.49804,  0.68235,  0.96078,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
83, 80, -23.54688, -6.58594, -5.16016,  1.00,  0.49804,  0.49412,  0.00,  0.00,  0.00,  0.49804,  0.49804,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
84, 81, -23.25, -6.32031, -7.69922,  1.00,  0.4549,  0.99216,  0.49804,  0.00,  0.00392,  0.4549,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
85, 82, -23.96875, -6.39453, -7.69141,  1.00,  0.44706,  0.99216,  0.5098,  0.00,  0.00392,  0.44706,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
86, 83, -22.96875, -6.39453, -7.69141,  1.00,  0.49804,  0.54118,  0.99216,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
87, 83, -22.96875, -6.39453, -7.69141,  1.00,  0.49804,  0.54118,  0.99216,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
88, 74, -22.25, -6.32031, -7.69922,  1.00,  0.49804,  0.54118,  0.99216,  0.00,  0.00,  0.49804,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
89, 81, -23.25, -6.32031, -7.69922,  1.00,  0.4549,  0.99216,  0.49804,  0.00,  0.00392,  0.4549,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
90, 84, -23.54688, -6.58594, -5.16016,  1.00,  0.49804,  0.49412,  0.00,  0.00,  0.4902,  0.99608,  0.49412,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
91, 85, -23.5625, -6.34766, -5.16406,  1.00,  0.58039,  0.07451,  0.7451,  0.00,  0.61569,  0.76078,  0.90588,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
92, 86, -22.92188, -6.28906, -5.74219,  1.00,  0.49804,  0.0549,  0.27451,  0.00,  0.47843,  0.72157,  0.0549,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
93, 87, -29.89063, -1.40332, -34.15625,  1.00,  0.16863,  0.15294,  0.36078,  0.00,  0.19216,  0.8549,  0.33333,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
94, 88, -29.875, -1.29199, -34.15625,  1.00,  0.18039,  0.25098,  0.20392,  0.00,  0.3451,  0.92941,  0.30588,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
95, 89, -29.875, -1.03223, -34.15625,  1.00,  0.9451,  0.49804,  0.27843,  0.00,  0.49804,  0.99608,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
96, 90, -29.875, -1.03223, -34.15625,  1.00,  0.9451,  0.49804,  0.27843,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
97, 91, -29.89063, -1.14355, -34.15625,  1.00,  0.9451,  0.49804,  0.27843,  0.00,  0.49804,  0.00,  0.49804,  0.99608,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
98, 92, -29.89063, -1.40332, -34.15625,  1.00,  0.16863,  0.15294,  0.36078,  0.00,  0.80392,  0.14118,  0.66275,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
99, 93, -31.26563, -1.29688, -36.96875,  1.00,  0.50588,  0.2549,  0.93333,  0.00,  0.45882,  0.06667,  0.2549,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
100, 94, -31.26563, -1.4082, -36.96875,  1.00,  0.40,  0.16078,  0.85098,  0.00,  0.55294,  0.13333,  0.16471,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00
